dispute_id,payment_id,reason_code,raised_at,disputed_amount
dsp_xo5xqhes518o,pay_1hkggeikqlzt1i,not_received,2026-02-04 03:58:32,2155.06
dsp_ic0ltgdi47w8,pay_caevcutjrs5j8n,not_received,2026-02-10 04:32:40,5245.12
dsp_f1ci8mh85vpa,pay_b03gzwf0gfy4ym,fraud,2026-02-11 21:53:52,1852.86
dsp_9useg814nvtn,pay_yboum927gmt13b,duplicate,2026-02-13 17:32:25,10833.76
dsp_k77wdojtlseq,pay_dfjeoowhn4lagn,fraud,2026-02-14 01:40:23,262.0
dsp_h58lv8hioguo,pay_c7rrol31l3lf0d,not_as_described,2026-02-15 01:44:55,1620.0
dsp_m94pe51jfeds,pay_wg6rs92zxxqi3w,fraud,2026-02-15 04:07:52,279.0
dsp_e3oc7hejw9hi,pay_mjlm7r0zsfxtrb,duplicate,2026-02-17 09:31:43,18261.42
dsp_8yfpgk58elst,pay_siu6wniccx7jeb,not_as_described,2026-02-20 12:15:10,390.0
dsp_9skdw5mv0nac,pay_suiwxpcpf768d4,not_as_described,2026-02-20 14:46:06,2311.69
dsp_whb7wiitpe0u,pay_wheinq3vnnp11c,subscription_cancelled,2026-02-21 06:49:39,189.24
dsp_bkz0ldnbr9uy,pay_0dtn31qmb6s8rd,not_received,2026-02-21 14:24:57,19468.1
dsp_fm0m6zasmreq,pay_91g5y7h3sdkacw,not_as_described,2026-02-21 16:45:00,993.0
dsp_81fk217k0ads,pay_0cu4bfoynr94co,fraud,2026-02-22 03:18:16,1675.0
dsp_xysfbhhjvfxu,pay_0y8ffwcsi497sg,subscription_cancelled,2026-02-25 20:16:30,586.0
dsp_x451exeuix56,pay_bm4z6d4tf2vb3z,subscription_cancelled,2026-02-27 14:35:00,731.0
dsp_x2bd5jjkpik3,pay_6cm3a0xppvt5yl,not_received,2026-02-28 19:48:22,7884.03
dsp_8h981obhb1vi,pay_3b31hckm8hmrpn,fraud,2026-03-02 08:23:13,253.0
dsp_sdtbhybd9tsn,pay_q0tjms7b3y6te3,subscription_cancelled,2026-03-03 02:51:23,271.0
dsp_edbryp7rt69p,pay_a3m87xpkj83kbp,not_received,2026-03-04 03:00:55,8901.95
dsp_dgv6t95fecr5,pay_lfz73xu9vua9kt,fraud,2026-03-04 10:26:15,253.0
dsp_v4xnlr2273q1,pay_z0hq35iksoveat,subscription_cancelled,2026-03-04 14:24:11,6303.21
dsp_iuwno9qdzr5g,pay_oyufv1hjnor9bz,fraud,2026-03-04 22:51:08,1335.0
dsp_xlu4px2kbx77,pay_oyc3angzuakua8,not_received,2026-03-05 14:38:06,3955.02
dsp_jhpuffz073zr,pay_ajbuezk3leg1tb,not_as_described,2026-03-07 02:01:06,790.62
dsp_6nns2ueje0k3,pay_uyfd18y8z75kwn,not_as_described,2026-03-07 02:41:27,1340.0
dsp_jtgfon483vv8,pay_fjxrgiy4hydvbl,subscription_cancelled,2026-03-07 04:17:53,575.0
dsp_112adi2jhs6a,pay_pzmr4nd413ea3k,not_received,2026-03-07 07:49:20,22826.97
dsp_dp42llssi4wz,pay_jt5dnjwuok4v89,not_received,2026-03-08 04:57:51,1231.07
dsp_7r9jusxgc9ap,pay_i4ujfjpw2k1ci5,fraud,2026-03-09 02:36:36,5895.94
dsp_8c5pjieangz1,pay_1ebj4b2ance6ma,not_received,2026-03-09 22:48:27,1910.0
dsp_l8h1ttzls13i,pay_9lj26xcdnpmazp,not_received,2026-03-10 03:17:03,5738.53
dsp_b6s4t7oyrn6k,pay_0mwjia2nnqh5e4,duplicate,2026-03-10 23:42:23,260.0
dsp_vch9uzc316y7,pay_okj8qcp92f1xu5,not_received,2026-03-11 18:52:22,1832.25
dsp_ocoaupi8a72i,pay_7qu6br7wavd3gm,fraud,2026-03-12 13:03:00,11072.54
dsp_qgvedi885bor,pay_ixw2f35o99ito9,subscription_cancelled,2026-03-12 17:52:17,1407.0
dsp_1j53iq0u012r,pay_n6mhuft9ajnizk,subscription_cancelled,2026-03-15 06:57:53,460.0
dsp_588uv5rqwswi,pay_2eti3g8icsi2qf,not_received,2026-03-15 22:54:06,14829.65
dsp_q1ld207ehnbu,pay_lzbmnego27rcq6,not_as_described,2026-03-16 05:28:42,1420.0
dsp_ivvue03uokq5,pay_qoju9ifqno5umi,not_received,2026-03-16 13:59:17,12326.84
dsp_y9rzwiyyk3lv,pay_hu10mntlmmke3y,not_received,2026-03-16 14:55:30,2483.4
dsp_pc3rqvdd65fv,pay_1liiikahwgik25,subscription_cancelled,2026-03-16 16:46:57,262.0
dsp_ho99f851i61j,pay_4rvx9x8ays7nwj,not_as_described,2026-03-16 17:36:45,2425.42
dsp_g67hbpe0xxhp,pay_9oytm3tepnpms8,fraud,2026-03-16 18:37:47,66.0
dsp_u8lyp5z6qmom,pay_vadmdp1icpfs6p,not_received,2026-03-16 19:30:12,2174.0
dsp_x4hyi2w8z9n9,pay_bzku22cbiw3br0,duplicate,2026-03-17 05:34:50,2172.17
dsp_8148jop0ly4f,pay_qgew9l5c1mgk7o,fraud,2026-03-17 13:21:40,510.15
dsp_6kwlyuornd1y,pay_yhbss4cz8l98bz,not_as_described,2026-03-18 00:20:49,1709.56
dsp_qmupzfjw4xra,pay_q3d0boiqto0p4s,fraud,2026-03-18 00:36:10,232.0
dsp_ocn71qnm2ycr,pay_afbn8ej9r5ot5i,duplicate,2026-03-18 00:49:07,19035.82
dsp_xash2jq0qqf9,pay_9dmufw4cvro1mg,subscription_cancelled,,460.0
dsp_lc1w48y6hmns,pay_tiwixfitlzl7ge,fraud,2026-03-18 16:19:08,4456.1
dsp_irop1dd46gyg,pay_hi00tw9t00e7bf,subscription_cancelled,2026-03-18 23:00:00,207.0
