payment_id,shipped_at,delivered_at,delivery_status,tracking_available,address_completeness_score,delivered_ts_missing,timestamps_untrusted
pay_42ech9jr2khkjv,,,delivered,True,0.76,0,1
pay_tkitkn34s2hnmt,2026-01-01 05:53:00,2026-01-01 22:47:41,delivered,True,0.78,0,0
pay_775h59isbk2p84,2026-01-01 11:18:18,2026-01-05 16:53:47,lost,True,0.69,0,0
pay_a0ku91fj3wq0pg,2026-01-01 11:27:47,2026-01-06 16:55:13,delivered,True,0.79,0,0
pay_s5ds7vjjcylelb,2026-01-01 11:37:07,2026-01-07 04:39:01,delivered,True,0.78,0,0
pay_42oig9hrrug0up,2026-01-01 11:41:04,2026-01-04 06:52:58,delivered,True,0.75,0,0
pay_hcrylb7dfnr7hv,2026-01-01 12:49:25,2026-01-04 02:05:17,delivered,True,0.81,0,0
pay_mfruvybdnuf1pw,2026-01-01 12:50:39,2026-01-12 20:44:32,delivered,True,0.77,0,0
pay_scgissbyv8930v,2026-01-01 14:26:10,2026-01-08 00:20:29,delivered,True,0.82,0,0
pay_xph7hir8zyviui,2026-01-01 15:27:52,2026-01-04 19:16:41,delivered,False,0.59,0,0
pay_inqjab5ie2spmj,2026-01-01 16:05:11,2026-01-12 15:52:05,delivered,True,0.9,0,0
pay_vuqsj0ioh9kyj6,2026-01-01 16:19:52,2026-01-04 23:33:29,delivered,True,0.99,0,0
pay_5acwa2y1mx2dkc,2026-01-01 16:23:33,2026-01-06 23:28:44,delivered,True,0.96,0,0
pay_bclexnemcgphto,2026-01-01 16:26:01,2026-01-10 00:35:38,delivered,True,0.51,0,0
pay_t530anpgrju1md,2026-01-01 16:40:59,2026-01-06 07:05:01,delivered,True,0.72,0,0
pay_tnnb3uyk3liohq,2026-01-01 17:20:16,2026-01-04 10:29:23,delivered,True,0.55,0,0
pay_24cnko5frbre4j,2026-01-01 18:24:48,2026-01-04 04:00:18,delivered,True,0.86,0,0
pay_fp0g6o2v6e736z,2026-01-01 18:38:52,2026-01-04 10:07:30,delivered,True,0.82,0,0
pay_3xwmbzeny0aoe0,2026-01-01 19:10:01,2026-01-06 14:37:24,delivered,True,0.61,0,0
pay_4l1z4fg3ktqn8q,2026-01-01 19:15:25,2026-01-10 07:15:58,returned,True,0.52,0,0
pay_yp4ij7t8k9wgbr,2026-01-01 19:23:40,2026-01-04 17:17:46,returned,False,0.84,0,0
pay_y4j6e2y5k2eeha,2026-01-01 19:23:40,2026-01-06 16:38:55,delivered,True,0.66,0,0
pay_4dsry0thkomfai,2026-01-01 19:25:31,2026-01-09 04:34:35,delivered,True,0.96,0,0
pay_ra2uboad56stgs,2026-01-01 19:41:49,2026-01-06 15:38:24,delivered,True,0.29,0,0
pay_jhjj89g7nddxz3,2026-01-01 19:56:48,2026-01-02 09:09:44,delivered,True,0.73,0,0
pay_tqs9718v9ff6ry,2026-01-01 20:06:04,2026-01-05 08:52:31,delivered,True,0.67,0,0
