payment_id,merchant_id,customer_id,amount,method,issuer_bank,card_bin_country,created_at,ip_state,device_id,is_first_txn_for_device,checkout_latency_ms,retry_count,auth_status,exclude_from_modelling,retry_count_raw
pay_ti56gkom88h9xy,merch_010,cust_007299,1503.38,upi,,,2019-06-09 13:05:31,KA,dev_llnn28btvkfd,False,2543,0,success,1,0
pay_42ech9jr2khkjv,merch_002,cust_000887,2476.64,upi,,,2026-01-01 00:01:49,MH,dev_8p0g83hssjrx,True,3685,1,success,0,1
pay_4twwdow0ne44y7,merch_043,cust_018035,3234.43,upi,,,2026-01-01 00:25:37,TG,dev_evslf9vfm931,True,9224,0,success,0,0
pay_scgissbyv8930v,merch_003,cust_030709,447.72,card,Bank of Baroda,IN,2026-01-01 00:30:19,KL,dev_v5yagt0fkvwk,True,4523,0,success,0,0
pay_1xagluqfstyn2p,merch_026,cust_023824,211.0,upi,,,2026-01-01 00:48:37,KL,dev_r3mkyz4lwe4g,True,3009,0,success,0,0
pay_1k4sb8h64wons0,merch_015,cust_019193,387.0,upi,,,2026-01-01 01:03:57,PB,dev_0p971wnxlmlb,True,1658,0,success,0,0
pay_a0ku91fj3wq0pg,merch_005,cust_027188,626.09,upi,,,2026-01-01 01:27:58,UP,dev_9gbf2gszb0h0,True,2638,0,success,0,0
pay_tkitkn34s2hnmt,merch_052,cust_016795,1740.0,card,Kotak Mahindra Bank,IN,2026-01-01 01:41:24,TN,dev_yisho9br8azl,True,3284,0,success,0,0
pay_o2cr0wjv5o585h,merch_027,cust_026405,603.0,wallet,,,2026-01-01 02:43:46,OD,dev_b8ey7jfop8o0,True,2429,1,success,0,1
pay_hcrylb7dfnr7hv,merch_057,cust_034969,1130.0,card,Canara Bank,IN,2026-01-01 02:59:59,TG,dev_tho2c9swqikg,True,1599,1,success,0,1
pay_28s5jkgo3yu32n,merch_030,cust_016077,263.0,card,Yes Bank,IN,2026-01-01 03:20:35,BR,dev_fmu1xz1sgalb,True,1721,1,success,0,1
pay_1ivxxrc0oq9yy1,merch_044,cust_012090,1129.45,upi,,,2026-01-01 03:48:12,TN,dev_17hstbyhybau,True,1913,0,success,0,0
pay_k7g4e4mto1a3pf,merch_011,cust_023714,260.0,card,Axis Bank,IN,2026-01-01 04:29:07,OD,dev_gapapir8ce56,True,4847,1,success,0,1
