segment_type,segment_value,dispute_rate,transaction_count,avg_amount,below_min_n
merchant_category,travel,0.022672,11997,12153.34,False
merchant_category,ticketing,0.008334,11999,832.33,False
merchant_category,edtech,0.007669,11996,4418.66,False
merchant_category,gaming,0.007377,23995,375.36,False
merchant_category,d2c,0.006905,41997,1487.4,False
merchant_category,subscription,0.006614,17993,461.82,False
method,emi,0.024385,4798,14034.28,False
method,netbanking,0.014518,14396,7349.43,False
method,card,0.01175,37193,1219.53,False
method,wallet,0.006297,10799,672.8,False
method,upi,0.004148,52791,1189.92,False
card_bin_country,GB,0.028169,284,1129.63,True
card_bin_country,AU,0.026667,75,1463.93,True
card_bin_country,CA,0.026549,113,1115.97,True
card_bin_country,US,0.025189,794,1280.36,False
card_bin_country,HK,0.024096,166,1448.75,True
card_bin_country,SG,0.017778,450,1138.97,False
card_bin_country,AE,0.012821,546,1299.01,False
card_bin_country,IN,0.011128,34597,1218.02,False
card_bin_country,MY,0.0,168,1087.49,True
ip_state,MZ,0.046729,107,3164.54,True
ip_state,LA,0.02439,41,1831.07,True
ip_state,SK,0.022727,88,2728.2,True
ip_state,MN,0.011765,170,2729.09,True
ip_state,TG,0.010963,6020,2376.76,False
ip_state,CG,0.010953,913,2452.77,False
ip_state,PB,0.010568,2555,2472.97,False
ip_state,MP,0.010514,3424,2541.47,False
ip_state,BR,0.009982,2204,2492.02,False
ip_state,JH,0.009937,1107,2302.76,False
ip_state,HR,0.009812,4586,2480.3,False
ip_state,HP,0.00979,715,2304.88,False
ip_state,TN,0.009489,10538,2375.06,False
ip_state,DL,0.00908,11564,2377.43,False
ip_state,MH,0.008718,18239,2361.01,False
ip_state,WB,0.00859,6519,2435.2,False
ip_state,GJ,0.008588,7336,2423.86,False
ip_state,AP,0.008383,3698,2392.01,False
ip_state,KL,0.008287,4103,2395.49,False
ip_state,UP,0.008267,10161,2367.48,False
ip_state,KA,0.008234,14696,2379.34,False
ip_state,NL,0.008197,122,2411.88,True
ip_state,RJ,0.007224,4845,2538.21,False
ip_state,ML,0.006329,158,2688.3,True
ip_state,JK,0.006289,477,2752.93,False
ip_state,UK,0.006274,797,2586.83,False
ip_state,AS,0.005426,1290,2352.39,False
ip_state,OD,0.005288,1702,2524.09,False
ip_state,GA,0.003546,564,2485.86,False
ip_state,TR,0.0,211,1917.14,True
ip_state,AN,0.0,67,3020.89,True
ip_state,PY,0.0,362,2101.86,False
ip_state,DN,0.0,36,1852.21,True
ip_state,CH,0.0,398,2329.75,False
ip_state,AR,0.0,119,2529.71,True
ip_state,LD,0.0,45,2350.24,True
email_domain_type,disposable,0.038299,13290,2385.5,False
email_domain_type,unknown,0.017241,58,2166.49,True
email_domain_type,personal,0.005546,85109,2416.68,False
email_domain_type,corporate,0.00316,21520,2373.09,False
delivery_status,lost,0.026781,1979,3332.34,False
delivery_status,in_transit,0.013528,9240,3188.7,False
delivery_status,returned,0.01303,3300,2190.23,False
delivery_status,delivered,0.008567,51474,3399.21,False
