payment_id,created_at,amount,log_amount,amount_vs_merchant_avg_ratio,hour_of_day,day_of_week,is_night_txn,retry_count,checkout_latency_ms,is_foreign_bin,is_first_txn_for_device,account_age_implausible,account_age_days_at_txn,refund_window_days,delivery_sla_days_filled,is_physical_goods,phone_verified,method,merchant_category,email_domain_type,txns_last_24h,txns_last_7d,distinct_devices_30d,amount_vs_own_avg,has_prior_history,ip_state_changed_from_prev_txn,prior_disputes_before_this_txn,merchant_dispute_rate_trailing_90d,is_disputed
pay_42ech9jr2khkjv,2026-01-01 00:01:49,2476.64,7.815061773184788,2.048181013736468,0,3,1,1,3685,0,1,0,229,21,5,1,1,upi,d2c,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_4twwdow0ne44y7,2026-01-01 00:25:37,3234.43,8.081917119276417,0.9112276836651612,0,3,1,0,9224,0,1,0,192,15,0,0,1,upi,edtech,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_scgissbyv8930v,2026-01-01 00:30:19,447.72,6.106399085200081,0.2057272042200452,0,3,1,0,4523,0,1,0,2111,15,7,1,1,card,d2c,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_1xagluqfstyn2p,2026-01-01 00:48:37,211.0,5.356586274672012,0.5591181302665749,0,3,1,0,3009,0,1,0,669,14,0,0,0,upi,subscription,corporate,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_1k4sb8h64wons0,2026-01-01 01:03:57,387.0,5.961005339623274,0.983906643276638,1,3,1,0,1658,0,1,0,60,5,0,0,1,upi,gaming,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_a0ku91fj3wq0pg,2026-01-01 01:27:58,626.09,6.441090071001801,0.7051357134812479,1,3,1,0,2638,0,1,0,381,30,5,1,1,upi,d2c,corporate,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_tkitkn34s2hnmt,2026-01-01 01:41:24,1740.0,7.462214939768189,1.8690384119618457,1,3,1,0,3284,0,1,0,489,1,2,1,1,card,ticketing,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_o2cr0wjv5o585h,2026-01-01 02:43:46,603.0,6.403574197934815,1.1465404141235527,2,3,1,1,2429,0,1,0,1280,3,0,0,1,wallet,subscription,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_hcrylb7dfnr7hv,2026-01-01 02:59:59,1130.0,7.030857476116121,1.4546297130646344,2,3,1,1,1599,0,1,0,154,5,3,1,0,card,ticketing,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_28s5jkgo3yu32n,2026-01-01 03:20:35,263.0,5.575949103146316,0.5036673880153973,3,3,1,1,1721,0,1,0,659,0,0,0,0,card,subscription,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_1ivxxrc0oq9yy1,2026-01-01 03:48:12,1129.45,7.030371062522326,0.2741137325046052,3,3,1,0,1913,0,1,0,46,15,0,0,1,upi,edtech,personal,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_k7g4e4mto1a3pf,2026-01-01 04:29:07,260.0,5.564520407322694,0.6023956812863465,4,3,1,1,4847,0,1,0,788,3,0,0,1,card,gaming,corporate,0.0,0.0,0.0,1.0,0,0,0,0.01,0
pay_42oig9hrrug0up,2026-01-01 06:13:55,433.28,6.0736894873636516,0.3583225134180732,6,3,0,0,1733,0,1,0,223,21,5,1,0,upi,d2c,corporate,0.0,0.0,0.0,1.0,0,0,0,0.01,0
