feature_name,model_role,order
log_amount,numeric,0
amount_vs_merchant_avg_ratio,numeric,1
hour_of_day,numeric,2
day_of_week,numeric,3
is_night_txn,numeric,4
retry_count,numeric,5
checkout_latency_ms,numeric,6
is_foreign_bin,numeric,7
is_first_txn_for_device,numeric,8
account_age_days_at_txn,numeric,9
account_age_implausible,numeric,10
refund_window_days,numeric,11
delivery_sla_days_filled,numeric,12
is_physical_goods,numeric,13
phone_verified,numeric,14
txns_last_24h,numeric,15
txns_last_7d,numeric,16
distinct_devices_30d,numeric,17
prior_disputes_before_this_txn,numeric,18
amount_vs_own_avg,numeric,19
has_prior_history,numeric,20
ip_state_changed_from_prev_txn,numeric,21
merchant_dispute_rate_trailing_90d,numeric,22
method,categorical,23
merchant_category,categorical,24
email_domain_type,categorical,25
