feature,importance,importance_std,rank,informative
log_amount,0.030749802714193454,0.003892944788587403,1,True
email_domain_type,0.02294601401798217,0.0028237169550668416,2,True
phone_verified,0.022428770538691845,0.0031159172195032556,3,True
merchant_category,0.012961491955076683,0.0018292948450282197,4,True
method,0.010973375267521748,0.001744631341486951,5,True
has_prior_history,0.003067697862969708,0.0010044676798192543,6,True
amount_vs_merchant_avg_ratio,0.002649416335956188,0.000928737786011899,7,True
delivery_sla_days_filled,0.002481423394544726,0.001050258187976973,8,True
is_first_txn_for_device,0.0009811869602984503,0.0005902589763480975,9,False
is_foreign_bin,0.0008202178996261555,0.0013794208215292328,10,False
account_age_days_at_txn,0.0007476466850937034,0.0011704548303705705,11,False
is_physical_goods,0.000562472786003596,0.00102089411549619,12,False
refund_window_days,0.0003771695056803536,0.0009108611067037476,13,False
hour_of_day,0.0001532880074368954,0.00011686718286576375,14,False
retry_count,0.00012774997790275088,0.0006874916508945184,15,False
is_night_txn,7.18637027023834e-05,0.000263460144233925,16,False
merchant_dispute_rate_trailing_90d,7.111754717924624e-05,0.0003162466167222769,17,False
txns_last_7d,5.9541845943450467e-05,0.0002144019359203697,18,False
ip_state_changed_from_prev_txn,1.2025937838833212e-05,0.0008094518904628165,19,False
distinct_devices_30d,9.292527008950523e-06,0.0001364795658225978,20,False
account_age_implausible,0.0,0.0,21,False
day_of_week,-0.00016306207846817494,0.0006430502408947107,22,False
prior_disputes_before_this_txn,-0.0003970982806482497,0.00014986277834269147,23,False
amount_vs_own_avg,-0.000434207355307626,0.000135968286982312,24,False
txns_last_24h,-0.0008244531453354053,0.0014158638438718405,25,False
checkout_latency_ms,-0.0017231128255695092,0.0018323044323530254,26,False
