learning_rate,max_leaf_nodes,min_samples_leaf,l2_regularization,max_features,cv_pr_auc,cv_std
0.12,4,400,0.0,0.6,0.07051622261695835,0.016345249016252127
0.08,4,150,0.0,1.0,0.06825508623700506,0.016525708834241936
0.08,8,800,10.0,0.8,0.0675009785904314,0.01294051108232989
0.05,4,50,10.0,1.0,0.06731284366266242,0.011643871270192813
0.12,8,800,10.0,1.0,0.06560464968078583,0.012514393974223856
0.02,31,800,1.0,0.8,0.06358631926993605,0.01035028685631563
0.08,4,150,1.0,0.8,0.06303289693870834,0.01011675324320247
0.05,8,50,50.0,1.0,0.06235053506292143,0.011821135310654618
0.02,31,400,1.0,0.8,0.06200293689536085,0.010112978875531423
0.02,31,400,1.0,0.6,0.06149727184228679,0.007949934829158612
0.05,8,50,10.0,1.0,0.06111922903792844,0.008358614010494328
0.08,15,50,50.0,0.8,0.05976485461149572,0.01479760154762906
0.05,31,400,50.0,1.0,0.0597641715962753,0.015386248021074274
0.02,15,50,10.0,1.0,0.05949026424696005,0.013383394518866968
0.12,15,150,50.0,0.8,0.05937410737705387,0.012405676784472268
0.03,31,150,0.0,0.8,0.05209288454785665,0.0072807523687587975
