bin,n,predicted_mean,observed_rate,gap,model
0,4525,0.001074630046068003,0.0006629834254143647,-0.0004116466206536383,calibrated
1,4525,0.0017240796160841031,0.0011049723756906078,-0.0006191072403934953,calibrated
2,4524,0.0022782120634858125,0.002431476569407604,0.00015326450592179162,calibrated
3,4525,0.0029053845542803647,0.0033149171270718232,0.0004095325727914586,calibrated
4,4524,0.0036960150497521386,0.0033156498673740055,-0.0003803651823781331,calibrated
5,4525,0.00471038438869943,0.0030939226519337017,-0.0016164617367657283,calibrated
6,4524,0.006203254977226027,0.003978779840848806,-0.0022244751363772203,calibrated
7,4525,0.008626685831314882,0.0077348066298342545,-0.0008918792014806273,calibrated
8,4524,0.013722984694463662,0.013483642793987621,-0.0002393419004760415,calibrated
9,4525,0.03929502087871052,0.05082872928176796,0.011533708403057438,calibrated
0,4525,0.0005275714807480796,0.0011049723756906078,0.0005774008949425282,main_hgb
1,4525,0.0010066367058884887,0.001988950276243094,0.0009823135703546054,main_hgb
2,4524,0.0014397585635959006,0.0017683465959328027,0.00032858803233690214,main_hgb
3,4525,0.0018739895325157504,0.0035359116022099448,0.0016619220696941943,main_hgb
4,4524,0.002411773495965331,0.0028735632183908046,0.0004617897224254734,main_hgb
5,4525,0.003183387704084322,0.0035359116022099448,0.0003525238981256229,main_hgb
6,4524,0.004394379253949742,0.005305039787798408,0.0009106605338486664,main_hgb
7,4525,0.006770367844493805,0.006850828729281768,8.04608847879626e-05,main_hgb
8,4524,0.012314486743103974,0.011936339522546418,-0.0003781472205575554,main_hgb
9,4525,0.04309597881860069,0.05104972375690608,0.00795374493830539,main_hgb
