bin,n,predicted_mean,observed_frequency,bin_midpoint,gap,model
0,4525,0.0005275714807480302,0.0011049723756906078,0.0005275714807480302,0.0005774008949425777,main_hgb
1,4525,0.001006636705888439,0.001988950276243094,0.001006636705888439,0.000982313570354655,main_hgb
2,4524,0.0014397585635958503,0.0017683465959328027,0.0014397585635958503,0.00032858803233695244,main_hgb
3,4525,0.0018739895325157005,0.0035359116022099448,0.0018739895325157005,0.0016619220696942442,main_hgb
4,4524,0.0024117734959652817,0.0028735632183908046,0.0024117734959652817,0.0004617897224255228,main_hgb
5,4525,0.0031833877040842716,0.0035359116022099448,0.0031833877040842716,0.0003525238981256732,main_hgb
6,4524,0.004394379253949692,0.005305039787798408,0.004394379253949692,0.0009106605338487159,main_hgb
7,4525,0.0067703678444937555,0.006850828729281768,0.0067703678444937555,8.046088478801203e-05,main_hgb
8,4524,0.012314486743103925,0.011936339522546418,0.012314486743103925,-0.00037814722055750684,main_hgb
9,4525,0.04309597881860064,0.05104972375690608,0.04309597881860064,0.007953744938305439,main_hgb
0,4525,0.001074630046067953,0.0006629834254143647,0.001074630046067953,-0.0004116466206535884,calibrated
1,4525,0.0017240796160840532,0.0011049723756906078,0.0017240796160840532,-0.0006191072403934454,calibrated
2,4524,0.0022782120634857626,0.002431476569407604,0.0022782120634857626,0.0001532645059218415,calibrated
3,4525,0.0029053845542803144,0.0033149171270718232,0.0029053845542803144,0.0004095325727915089,calibrated
4,4524,0.003696015049752089,0.0033156498673740055,0.003696015049752089,-0.0003803651823780837,calibrated
5,4525,0.00471038438869938,0.0030939226519337017,0.00471038438869938,-0.001616461736765678,calibrated
6,4524,0.006203254977225978,0.003978779840848806,0.006203254977225978,-0.0022244751363771718,calibrated
7,4525,0.008626685831314833,0.0077348066298342545,0.008626685831314833,-0.0008918792014805787,calibrated
8,4524,0.013722984694463612,0.013483642793987621,0.013722984694463612,-0.0002393419004759912,calibrated
9,4525,0.03929502087871047,0.05082872928176796,0.03929502087871047,0.011533708403057487,calibrated
