segment_type,segment_value,n,positives,dispute_rate,mean_amount,best_net_savings_inr,optimal_threshold,net_savings_at_global_policy,savings_per_txn,savings_per_intervention,review_band_net_inr,n_review,stepup_band_net_inr,n_stepup
method,wallet,4063,31,0.007629830174747723,676.1775412256952,9552.306599999996,0.009961517928,9478.634349999993,2.3329151735171036,46.692780049261046,-300.0,1,9778.63435,202
merchant_category,ticketing,4561,32,0.007016005262003947,825.2335014251261,21097.5,0.019648161093,15367.75,3.369381714536286,50.386065573770495,1890.0,25,13477.75,280
amount_bucket,<500,15434,76,0.004924193339380588,261.7331320461319,52394.542349999974,0.011300950508,39039.59799999998,2.529454321627574,77.61351491053675,3280.0,4,35759.598,499
merchant_category,gaming,9050,67,0.007403314917127072,380.06994475138123,60102.39,0.012939210431,56536.899999999994,6.247171270718232,113.98568548387095,23411.0,28,33125.9,468
merchant_category,edtech,4528,29,0.006404593639575972,4432.87351369258,45635.67094999997,0.049222325165,36681.38689999998,8.101013007950526,121.86507275747503,12255.97,13,24425.41689999999,288
amount_bucket,500-2000,17564,141,0.008027784103848782,1076.3607230699158,133954.90200000006,0.018318346835,132435.3459500001,7.540158617057624,129.07928455165703,30607.589999999997,74,101827.75595,952
merchant_category,subscription,6760,47,0.006952662721893491,462.12189349112424,43775.565,0.011577502366,44527.56,6.586917159763313,141.80751592356688,5920.0,18,38607.56,296
method,card,13944,161,0.011546184738955823,1198.920983935743,195224.81974999997,0.025103440669,194068.78474999993,13.917726961417092,150.0918675560711,33646.100000000006,128,160422.68475000001,1165
merchant_category,d2c,15818,117,0.0073966367429510686,1484.4536844101658,135759.34990000003,0.025717451406,139361.2331,8.81029416487546,164.1475065959953,22490.83,61,116870.4031,788
amount_bucket,2000-10000,9960,115,0.011546184738955823,4300.858945783133,211455.65755,0.024688825452,229631.62750000006,23.055384287148602,227.80915426587308,69867.89,102,159763.73750000005,906
method,upi,19909,79,0.003968054648651364,1190.954865638656,121346.21460000006,0.017204183372,132850.39925000007,6.672881573660158,246.93382760223062,41211.46,7,91638.93925,531
method,netbanking,5474,81,0.014797223237120936,7276.823980635732,393950.2620499999,0.023556599912,447729.3365,81.79198693825356,605.8583714479025,240421.52999999997,115,207307.8065,624
merchant_category,travel,4529,115,0.025391918745860012,12155.005513358357,820890.3287499996,0.04429342053,907145.3559999999,200.29705365422828,1094.2646031363088,455369.48,163,451775.87600000005,666
method,emi,1856,55,0.029633620689655173,13966.32983836207,415338.32644999993,0.045376953483,415493.03114999994,223.86477971443963,1294.3708135514016,206358.19,57,209134.84114999996,264
amount_bucket,>10000,2288,75,0.03277972027972028,18858.952194055946,712287.9249499998,0.042340172012,798513.6145499998,349.000705659965,1433.597153590664,417581.80000000005,128,380931.81455000007,429
