customer_id,account_age_days,lifetime_orders,prior_disputes,avg_order_value,email_domain_type,phone_verified
cust_000001,2037,21,1,1172.14,personal,True
cust_000002,377,4,0,2267.05,personal,True
cust_000003,1136,7,1,4113.82,personal,False
cust_000004,916,32,0,2627.46,personal,True
cust_000005,388,3,0,100.9,personal,True
cust_000006,2029,11,0,68.21,disposable,True
cust_000007,1942,75,0,1101.17,personal,True
cust_000008,1560,26,2,1150.71,personal,True
cust_000009,670,7,0,474.6,corporate,True
cust_000010,81,1,0,787.86,disposable,False
cust_000011,144,1,0,2580.07,disposable,False
cust_000012,2328,10,0,1289.64,corporate,True
cust_000013,791,8,0,1095.86,personal,True
cust_000014,1730,60,0,1866.34,personal,True
cust_000015,374,2,0,662.62,personal,True
cust_000016,100,1,0,1508.97,corporate,True
cust_000017,346,5,0,4810.85,disposable,False
cust_000018,97,1,0,587.9,corporate,True
cust_000019,1640,35,0,3437.8,corporate,True
cust_000020,876,6,0,4211.23,personal,True
cust_000021,997,19,0,796.49,personal,True
cust_000022,332,4,0,2111.89,personal,True
cust_000023,1313,10,0,2965.49,personal,True
cust_000024,2140,17,0,654.46,personal,True
cust_000025,1390,29,0,3996.2,personal,True
cust_000026,640,2,0,3938.13,personal,True
cust_000027,654,5,0,4784.59,personal,True
cust_000028,596,4,0,3782.52,personal,True
cust_000029,1355,46,0,1384.3,personal,True
cust_000030,488,9,0,2818.72,personal,True
cust_000031,1944,33,0,6861.79,personal,True
cust_000032,2002,59,1,1870.75,personal,True
cust_000033,313,12,0,1796.7,disposable,False
cust_000034,301,1,0,6827.02,personal,True
cust_000035,295,7,1,619.04,disposable,False
cust_000036,400,4,0,3646.21,personal,False
cust_000037,298,3,0,974.88,personal,True
cust_000038,362,1,0,4144.63,corporate,True
cust_000039,902,2,0,320.27,personal,True
cust_000040,143,1,0,799.52,corporate,True
cust_000041,136,1,0,19759.85,personal,True
cust_000042,2184,67,0,1839.09,personal,True
cust_000043,540,8,0,1579.06,personal,True
cust_000044,1043,15,0,1179.26,personal,True
cust_000045,2066,29,0,5267.1,corporate,True
cust_000046,892,19,0,1358.44,personal,True
cust_000047,289,1,1,243.47,corporate,True
cust_000048,503,1,0,633.37,personal,True
cust_000049,484,14,0,899.28,personal,True
cust_000050,430,10,0,944.72,personal,True
cust_000051,289,3,1,722.23,personal,True
cust_000052,554,20,0,2456.51,personal,True
cust_000053,2158,81,0,1044.25,personal,True
cust_000054,395,2,0,6891.37,personal,False
cust_000055,253,1,0,1813.37,personal,True
cust_000056,1353,29,1,1238.7,personal,True
cust_000057,531,15,0,1212.34,disposable,False
cust_000058,321,9,0,4256.82,personal,True
cust_000059,316,2,0,314.52,disposable,True
cust_000060,222,2,0,1713.99,personal,True
