merchant_id,category,avg_ticket_size,refund_window_days,delivery_sla_days
merch_001,d2c,1823.26,14,3
merch_002,d2c,1209.19,21,5
merch_003,d2c,2176.28,15,7
merch_004,d2c,2191.54,14,5
merch_005,d2c,887.9,30,5
merch_006,d2c,1219.22,15,3
merch_007,d2c,1746.29,7,5
merch_008,d2c,1597.44,21,3
merch_009,d2c,1552.17,15,4
merch_010,d2c,1284.4,15,7
merch_011,gaming,431.61,3,
merch_012,gaming,453.73,3,
merch_013,gaming,351.13,1,
merch_014,gaming,490.37,3,
merch_015,gaming,393.33,5,
merch_016,gaming,259.87,2,
merch_017,gaming,393.14,5,2
merch_018,gaming,247.01,1,3
merch_019,gaming,432.35,2,
merch_020,gaming,354.26,3,
merch_021,subscription,442.47,14,
merch_022,subscription,366.6,5,
merch_023,subscription,668.93,5,
merch_024,subscription,450.28,7,
merch_025,subscription,409.19,14,
merch_026,subscription,377.38,14,
merch_027,subscription,525.93,3,
merch_028,subscription,463.2,5,
merch_029,subscription,469.04,14,
merch_030,subscription,522.17,0,
merch_031,travel,21697.25,30,5
merch_032,travel,11241.92,2,5
merch_033,travel,10218.77,30,2
merch_034,travel,9434.4,2,7
merch_035,travel,13751.67,3,1
merch_036,travel,15653.53,7,2
merch_037,travel,11315.33,1,1
merch_038,travel,9192.39,7,2
merch_039,travel,9170.59,7,7
merch_040,travel,14935.87,14,2
merch_041,edtech,5017.56,30,
merch_042,edtech,5090.99,21,
merch_043,edtech,3549.53,15,
merch_044,edtech,4120.37,15,
merch_045,edtech,4404.21,15,
merch_046,edtech,4636.59,30,
merch_047,edtech,5344.0,14,
merch_048,edtech,4223.46,7,
merch_049,edtech,4924.13,14,
merch_050,edtech,3661.02,7,
merch_051,ticketing,835.31,1,3
merch_052,ticketing,930.96,1,2
merch_053,ticketing,603.48,5,3
merch_054,ticketing,806.53,5,2
merch_055,ticketing,781.17,5,1
merch_056,ticketing,793.03,3,3
merch_057,ticketing,776.83,5,3
merch_058,ticketing,1275.7,1,1
merch_059,ticketing,647.93,7,3
merch_060,ticketing,1063.38,3,1
